papertitle,semanticscholarid,link
Black-Box Membership Inference Attack for LVLMs via Prior Knowledge-Calibrated Memory Probing,6cb3c9aabb1db9d992aec3876313b38057042591,https://github.com/spmede/KCMP
BOAD: Discovering Hierarchical Software Engineering Agents via Bandit Optimization,7b5e64c257225ed8f63bbcc92d95b8f62fafd7be,https://github.com/iamxjy/BOAD-SWE-Agent
Boundary-Aware NL2SQL: Integrating Reliability through Hybrid Reward and Data Synthesis,31ef90de2724bd6ba3462641956ff805e500b270,https://github.com/TianSongS/BAR-SQL
Box-QAymo: Box-Referring VQA Dataset for Autonomous Driving,f764287db755ea39a9fa023ee8fba56d0208c622,https://djamahl99.github.io/qaymo-pages/
Breaking Expert Knowledge Limits: Self-Pruning for Large Language Models,b9ffa4bf87ab849a2dc636c58a4f5375b58e626c,https://anonymous.4open.science/r/AutoPrune
Bridging Graph and State-Space Modeling for Intensive Care Unit Length of Stay Prediction,c438cbb09a31120ab3a15f36dfe7edf35c3cc944,https://github.com/ShuqiZi1/S2G-Net
Bridging Semantics and Geometry: A Decoupled LVLM-SAM Framework for Reasoning Segmentation in Remote Sensing,bc241f44362ced988cbe1a4288f00af9942b1bcd,https://github.com/Ricardo-XZ/Think2Seg-RS
Bridging Semantic Understanding and Popularity Bias with LLMs,10524830cdfe0970f895ea14c13742eaf751bef3,https://github.com/LuoRenqiang/FairLRM
Bridging the behavior-neural gap: A multimodal AI reveals the brain's geometry of emotion more accurately than human self-reports,156e08b32b0191ef6ed1f0e44113f6acb959d216,https://reedonepeck.github.io/ai-emotion.github.io/
Bridging the gap to real-world language-grounded visual concept learning,0b788ce332427a9d071d26a7c41a438077d51139,https://github.com/whieya/Language-grounded-VCL
Building Futures: LLM-Guided Career Pathways for Australia’s Construction Graduates,921d9865e1d19f1f2b7b9d94c2ec2c9cb45fb129,http://myconstructioncareer.com.au/
C2-Cite: Contextual-Aware Citation Generation for Attributed Large Language Models,0903afe22833a5971a9ad668ef2852db28fc300e,https://github.com/BAI-LAB/c2cite
CADS: A Causal Inference Framework for Identifying Essential Genes to Enhance Drug Synergy Prediction.,2dc3186599161045a65e6d47076fa8d5b2423162,https://github.com/HuaiwuZhang/causalDC
Can Large Language Models Address Problem Gambling? Expert Insights from Gambling? Expert Insights from Gambling Treatment Professionals.,ebb64e09773f50e4b687f163c9d199fb45277d7c,https://www.unlv.edu/igi/conference/18th/sponsors
Can Large Language Models Address Problem Gambling? Expert Insights from Gambling? Expert Insights from Gambling Treatment Professionals.,ebb64e09773f50e4b687f163c9d199fb45277d7c,https://www.unlv.edu/igi/advisory-board
Can Large Language Models Address Problem Gambling? Expert Insights from Gambling? Expert Insights from Gambling Treatment Professionals.,ebb64e09773f50e4b687f163c9d199fb45277d7c,https://www.unlv.edu/igi/research-policy
Can Large Language Models Address Problem Gambling? Expert Insights from Gambling? Expert Insights from Gambling Treatment Professionals.,ebb64e09773f50e4b687f163c9d199fb45277d7c,https://www.unlv.edu/igi/policies/partnership
Can Large Vision-Language Models Understand Multimodal Sarcasm?,4dc2c1a707de5d43736bed59f37c41a0d4d25c09,https://github.com/cp-cp/LVLM-MSA
Can LLMs Lie? Investigation beyond Hallucination,84d49cd34556b01e47b286536c09a2812b438e08,https://llm-liar.github.io/
Can LLMs Model the Environmental Impact on SSD?,4d9bca7c2cd2e22fdd04ea1cb31abd4eabc5e4af,https://github.com/Damrl-lab/SSD_LLM
